title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,time_signature,valence,tempo
All Shook Up - Elvis Presley,0.624,0.468,10,-12.162,1,0.132,0.881,6.35e-06,0.144,4,0.952,74.139
I've Got You Under My Skin - Remastered 1998 - Frank Sinatra,0.585,0.247,1,-12.612,1,0.04,0.452,8.85e-06,0.107,4,0.591,127.15
Smoke Gets In Your Eyes - The Platters,0.29,0.227,3,-13.06,1,0.0311,0.944,7.95e-05,0.617,4,0.224,114.278
"What'd I Say, Pt. 1 & 2 - Ray Charles",0.54,0.681,4,-5.44,1,0.0508,0.808,0.0,0.162,4,0.794,88.385
Dream A Little Dream Of Me - Ella Fitzgerald,0.455,0.167,0,-13.613,1,0.0739,0.918,0.0,0.173,4,0.404,76.118
That'll Be The Day - Buddy Holly,0.536,0.637,2,-7.774,1,0.0343,0.467,0.0,0.0838,4,0.798,115.24
Blueberry Hill - Fats Domino,0.489,0.499,11,-9.702,1,0.0271,0.74,0.000236,0.156,3,0.829,133.341
Mack the Knife - Bobby Darin,0.549,0.529,3,-12.291,0,0.108,0.76,0.0,0.206,4,0.464,82.755
All I Have to Do Is Dream - The Everly Brothers,0.542,0.347,4,-14.011,1,0.0268,0.783,0.0,0.144,4,0.596,103.709
Sea Of Love - Phil Phillips,0.289,0.353,7,-12.302,1,0.0292,0.862,1.35e-06,0.172,4,0.312,85.436
True Love Ways - Buddy Holly,0.221,0.124,10,-19.545,1,0.0346,0.8,0.103,0.316,4,0.276,82.727
That's Amore - Dean Martin,0.407,0.17,10,-13.409,1,0.0341,0.76,0.0,0.0737,4,0.577,124.047
Johnny B. Goode - Chuck Berry,0.516,0.798,10,-9.049,1,0.083,0.738,0.000128,0.305,4,0.969,168.195
Jambalaya (On The Bayou) - Fats Domino,0.605,0.845,6,-8.672,0,0.0596,0.819,0.000267,0.253,4,0.965,75.322
I Can't Stop Loving You - Ray Charles,0.31,0.279,5,-13.552,1,0.0308,0.815,0.0,0.318,3,0.377,79.397
Wake up Little Susie - The Everly Brothers,0.709,0.62,2,-9.382,1,0.034,0.318,0.0,0.0426,4,0.936,93.723
Beyond the Sea - Bobby Darin,0.521,0.516,2,-7.456,0,0.0369,0.723,0.0,0.257,4,0.569,136.483
Rave On - Buddy Holly,0.566,0.711,0,-6.536,1,0.0335,0.611,6.59e-06,0.417,4,0.961,159.629
"Good Golly, Miss Molly - Little Richard",0.57,0.863,7,-10.82,1,0.0526,0.581,0.00412,0.313,4,0.909,163.837
Unforgettable - Nat King Cole,0.349,0.182,5,-13.507,1,0.031,0.92,0.0152,0.143,3,0.178,136.094
Broken Hearted Melody - Sarah Vaughan,0.448,0.5,7,-11.304,1,0.0356,0.744,0.0,0.191,4,0.768,132.443
Ain't That A Shame - Fats Domino,0.486,0.501,4,-8.57,1,0.0326,0.767,7.6e-05,0.0679,4,0.942,122.894
Dream Lover - Bobby Darin,0.526,0.774,5,-1.692,1,0.0459,0.715,0.0,0.437,4,0.715,131.715
Summertime Blues - Eddie Cochran,0.717,0.883,9,-8.686,0,0.0608,0.125,0.167,0.176,4,0.942,156.299
Great Balls Of Fire - Jerry Lee Lewis,0.468,0.527,7,-13.897,0,0.0683,0.554,0.0,0.061,4,0.855,159.501
(‘Til) I Kissed You - The Everly Brothers,0.58,0.356,10,-12.894,0,0.0387,0.338,0.0,0.335,4,0.7,140.647
Peggy Sue - Buddy Holly,0.676,0.424,9,-8.132,1,0.0329,0.947,0.000494,0.119,4,0.493,148.373
Don't Be Cruel - Elvis Presley,0.697,0.55,2,-11.496,1,0.179,0.856,3.44e-05,0.0907,4,0.844,84.802
Banana Boat (Day-O) - Harry Belafonte,0.797,0.105,1,-16.881,1,0.0969,0.885,0.000116,0.108,4,0.419,122.545
Smile - Nat King Cole,0.226,0.136,5,-19.203,0,0.0327,0.862,8.07e-06,0.302,5,0.263,79.37
Twilight Time - The Platters,0.408,0.366,9,-10.434,1,0.0296,0.869,0.0,0.267,4,0.294,77.711
Tennessee Waltz - Patti Page,0.468,0.171,5,-10.905,1,0.0303,0.957,3.74e-05,0.142,3,0.357,86.525
I Get A Kick Out Of You - Frank Sinatra,0.395,0.375,5,-10.966,0,0.0381,0.555,0.0,0.576,4,0.775,178.105
Stagger Lee - Lloyd Price,0.439,0.638,3,-6.859,1,0.0307,0.707,0.0,0.175,4,0.781,69.57
Bye Bye Love - The Everly Brothers,0.558,0.556,9,-8.358,1,0.0564,0.684,0.0,0.0869,4,0.905,169.259
Everyday - Buddy Holly,0.747,0.219,3,-12.562,1,0.0371,0.584,2.57e-05,0.107,4,0.498,135.562
The Great Pretender - The Platters,0.425,0.401,7,-9.427,1,0.0315,0.943,3.44e-06,0.072,3,0.531,115.71
"Love Me Tender - From the 20th Century-Fox CinemaScope Production, ""Love Me Tender"" - Elvis Presley",0.396,0.0373,9,-18.642,1,0.0416,0.907,4.41e-05,0.111,3,0.302,103.051
"Goodnite, It's Time to Go (Goodnight Sweetheart, Goodnight) - The Spaniels",0.375,0.318,9,-9.923,0,0.0423,0.655,0.000198,0.422,4,0.358,76.638
Living Doll - 2003 Remaster - Cliff Richard & The Drifters,0.572,0.463,9,-7.782,1,0.0517,0.527,0.0,0.0958,4,0.764,62.658
Volare (Nel Blu Di Pinto Di Blu) - Remastered 1998 - Dean Martin,0.612,0.144,6,-12.204,0,0.0352,0.88,0.0,0.203,4,0.343,128.629
He'll Have to Go - Jim Reeves,0.554,0.186,1,-15.846,1,0.0379,0.909,0.00144,0.11,3,0.2,81.181
I Walk the Line - Johnny Cash,0.713,0.258,9,-14.59,1,0.0384,0.877,0.00606,0.0967,4,0.56,98.805
Blue Suede Shoes - Elvis Presley,0.557,0.66,2,-7.706,1,0.056,0.654,1.66e-06,0.138,4,0.962,95.252
