title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,time_signature,valence,tempo
Se Eu Quiser Falar Com Deus                                                                                                                                                       - Gilberto Gil                                    ,0.6804550155118925,0.259,1.0,0.7638974927455903,0.0,0.07679738562091502,0.6967871485943775,5.9593908629441615e-05,0.9878419452887538,0.8,0.31065989847715736,0.5157998037291462
Saudade De Bahia                                                                                                                                                                  - Antônio Carlos Jobim                            ,0.7673216132368149,0.399,0.18181818181818182,0.7719670046623847,1.0,0.03769063180827886,0.21787148594377512,1.9086294416243656e-06,0.10840932117527863,0.8,0.7035532994923857,0.5843216972755736
"Canta Canta, Minha Gente                                                                                                                                                        - Martinho Da Vila                                ",0.8800413650465357,0.73,0.18181818181818182,0.7980176714159956,1.0,0.377995642701525,0.4548192771084338,6.436548223350253e-05,0.12563323201621074,0.8,0.9187817258883249,0.4378615823169307
Mulher Eu Sei                                                                                                                                                                     - Chico César                                     ,0.7290589451913133,0.0502,0.36363636363636365,0.6828111245150141,1.0,0.051307189542483665,0.8825301204819278,4.111675126903553e-05,0.3910840932117528,0.8,0.531979695431472,0.49909808869573347
Rosa Morena                                                                                                                                                                       - Kurt Elling                                     ,0.6732161323681489,0.119,0.5454545454545454,0.6552280655994263,1.0,0.04139433551198257,0.9196787148594379,0.00034822335025380707,0.10536980749746708,0.8,0.40812182741116754,0.5651712696854994
Desafinado                                                                                                                                                                        - Stan Getz                                       ,0.4819027921406412,0.146,0.2727272727272727,0.6928368817449708,1.0,0.07069716775599129,0.9347389558232932,0.1563451776649746,0.10840932117527863,0.8,0.42944162436548217,0.6677181176690499
Madalena                                                                                                                                                                          - Maria Gasolina                                  ,0.6980351602895554,0.207,1.0,0.7528284046819471,0.0,0.0593681917211329,0.9668674698795181,0.42030456852791875,0.11347517730496455,0.8,0.6944162436548224,0.437081172017384
O Meu Amor É Glòria                                                                                                                                                               - Sílvia Pérez Cruz                               ,0.5211995863495347,0.733,0.6363636363636364,0.8033647419386392,1.0,0.4237472766884532,0.6987951807228916,5.695431472081218e-05,0.6818642350557245,0.8,0.899492385786802,0.45125940464507686
Brigas Nunca Mais                                                                                                                                                                 - Paula Morelenbaum                               ,0.717683557394002,0.546,0.9090909090909092,0.7914316455283492,1.0,0.04357298474945534,0.3995983935742972,0.07715736040609136,0.15501519756838905,0.8,0.650761421319797,0.7945791859432684
Previsao                                                                                                                                                                          - Bossacucanova                                   ,0.6970010341261634,0.864,0.09090909090909091,0.8481790616543314,1.0,0.04161220043572984,0.643574297188755,0.36345177664974615,0.14083080040526852,0.8,0.5441624365482234,0.46728819103696434
The Girl From Ipanema                                                                                                                                                             - Stan Getz                                       ,0.6628748707342296,0.14,0.7272727272727273,0.704411333181181,1.0,0.042483660130718956,0.8704819277108434,0.0016852791878172587,0.10638297872340426,0.8,0.39390862944162436,0.6043179587831208
Blue Bossa - Remastered                                                                                                                                                           - Joe Henderson                                   ,0.4963805584281282,0.433,0.4545454545454546,0.8165856998467608,0.0,0.05795206971677559,0.6104417670682731,0.7045685279187817,0.1094224924012158,0.8,0.9106598984771573,0.38466750782746856
