cap.shape,cap.color,bruises,stalk.color.above.ring,stalk.color.below.ring,population,Id,poisonous
k,e,False,w,w,v,6573,1
f,e,True,p,w,y,4426,0
b,w,False,w,w,s,7018,0
k,g,False,w,w,n,5789,0
f,n,True,p,g,v,6187,0
x,w,False,w,w,s,2508,0
x,w,False,w,w,a,488,0
f,y,False,b,b,v,3673,1
f,y,False,b,b,v,5364,1
x,y,True,w,w,n,2582,0
f,y,False,p,p,y,3096,1
f,w,True,w,w,v,1050,0
f,g,False,b,p,y,1895,1
f,n,False,w,n,v,6420,0
f,y,False,n,n,y,6480,1
x,n,False,w,w,v,7562,1
k,n,False,w,n,v,2110,0
x,e,True,g,g,y,743,0
x,p,False,w,w,s,3505,1
x,g,True,p,p,y,5119,0
x,e,True,g,p,y,1290,0
x,n,True,g,w,y,3230,0
f,p,True,e,w,c,5386,0
f,e,False,p,w,v,6378,1
f,g,False,n,n,y,2684,1
x,w,False,w,w,s,1216,0
b,y,False,y,y,c,655,1
x,w,True,w,w,s,3302,1
x,e,True,e,e,c,3699,0
k,e,False,p,w,v,6675,1
x,w,True,w,w,n,141,0
f,g,False,n,p,v,647,1
x,y,False,p,n,v,4507,1
f,n,True,w,w,s,6285,0
f,n,True,w,w,s,4858,1
x,e,False,w,p,v,2097,1
x,e,False,p,w,v,2676,1
f,n,True,w,w,v,4178,1
b,y,True,w,w,n,6701,0
x,g,True,w,g,y,2095,0
x,y,True,w,w,s,1561,0
k,e,False,p,p,v,2695,1
f,g,False,w,w,a,584,0
x,g,True,g,g,y,7442,0
b,n,False,o,o,v,7579,0
f,n,True,w,p,v,4536,0
k,n,False,p,p,v,5227,1
x,u,False,w,w,y,4230,0
x,w,False,w,w,a,4499,0
f,y,False,p,b,y,0,1
x,g,False,w,w,v,204,1
x,n,False,o,o,c,2160,0
x,g,False,p,p,y,4218,1
f,e,False,p,p,v,884,1
x,e,False,w,p,v,6250,1
f,y,False,n,p,y,1383,1
f,n,True,w,w,v,6925,1
k,e,False,p,p,v,3011,1
f,n,True,g,w,y,6009,0
x,e,False,p,w,v,5369,1
x,n,True,w,w,s,5626,1
f,e,True,w,p,v,175,0
f,e,True,w,g,v,4640,0
f,n,True,p,g,y,6202,0
x,e,False,p,w,v,330,1
f,e,True,p,g,v,2651,0
x,w,True,w,w,s,4369,1
f,e,True,p,g,v,8064,0
x,b,True,w,w,v,3787,1
x,n,True,p,w,y,394,0
f,y,False,n,n,v,914,1
x,g,True,p,g,y,7546,0
f,n,True,g,p,v,4707,0
f,n,False,w,w,a,2708,0
x,w,True,w,w,v,3738,1
x,g,True,w,w,s,4389,1
f,n,True,w,w,s,6688,1
k,n,False,w,w,v,4142,1
x,n,False,w,w,s,6764,0
f,g,True,w,w,s,5106,1
k,e,False,p,w,v,5560,1
f,y,False,b,b,y,3877,1
f,e,False,p,w,v,4655,1
x,e,False,p,p,v,1132,1
f,g,False,p,p,y,3984,1
f,y,False,p,n,v,3098,1
b,y,True,w,w,n,2797,0
x,n,False,w,p,v,5632,1
f,g,False,p,n,v,920,1
f,g,False,w,w,s,7296,0
x,n,True,p,p,y,3842,0
x,g,False,w,w,s,5113,0
f,y,False,n,p,y,4932,1
f,g,False,b,p,y,5679,1
f,n,False,w,w,v,7252,1
f,n,False,p,p,v,5424,1
x,w,True,w,w,v,5986,1
x,g,True,w,p,v,6085,0
x,n,False,p,p,v,5897,1
x,y,False,b,n,v,3518,1
x,w,True,w,w,v,232,1
f,g,False,w,w,v,4630,0
f,g,False,p,b,v,7600,1
b,y,True,w,w,s,4679,0
f,n,True,w,g,v,530,0
f,n,False,w,w,a,806,0
f,w,False,w,w,a,3111,0
x,e,False,w,p,v,6101,1
x,w,False,w,w,a,5395,0
x,w,False,w,w,a,6773,0
x,w,False,w,w,s,7670,0
x,n,True,w,w,y,4337,0
x,y,False,n,n,v,5180,1
x,w,True,w,w,s,2063,0
f,n,True,g,p,y,7761,0
f,n,False,w,n,v,4181,0
f,g,False,b,n,y,1372,1
f,b,True,w,w,s,7580,1
x,g,False,w,w,s,5956,0
f,g,False,w,w,v,2637,0
x,y,True,w,w,s,5410,0
x,w,False,w,w,s,7435,0
f,y,True,w,w,s,2336,0
x,g,False,p,n,y,4708,1
f,n,False,p,w,v,775,1
