LotArea,LotFrontage,TotalBsmtSF,BedroomAbvGr,Fireplaces,PoolArea,GarageCars,WoodDeckSF,ScreenPorch,Expensive
8450,65.0,856,3,0,0,2,0,0,0
9600,80.0,1262,3,1,0,2,298,0,0
11250,68.0,920,3,1,0,2,0,0,0
9550,60.0,756,3,1,0,3,0,0,0
14260,84.0,1145,4,1,0,3,192,0,0
14115,85.0,796,1,0,0,2,40,0,0
10084,75.0,1686,3,1,0,2,255,0,1
10382,,1107,3,2,0,2,235,0,0
6120,51.0,952,2,2,0,2,90,0,0
7420,50.0,991,2,2,0,1,0,0,0
11200,70.0,1040,3,0,0,1,0,0,0
11924,85.0,1175,4,2,0,3,147,0,1
12968,,912,2,0,0,1,140,176,0
10652,91.0,1494,3,1,0,3,160,0,1
10920,,1253,2,1,0,1,0,0,0
6120,51.0,832,2,0,0,2,48,0,0
11241,,1004,2,1,0,2,0,0,0
10791,72.0,0,2,0,0,2,0,0,0
13695,66.0,1114,3,0,0,2,0,0,0
7560,70.0,1029,3,0,0,1,0,0,0
14215,101.0,1158,4,1,0,3,240,0,1
7449,57.0,637,3,1,0,1,0,0,0
9742,75.0,1777,3,1,0,2,171,0,0
4224,44.0,1040,3,1,0,2,100,0,0
8246,,1060,3,1,0,1,406,0,0
14230,110.0,1566,3,1,0,3,0,0,1
7200,60.0,900,3,0,0,2,222,0,0
11478,98.0,1704,3,1,0,3,0,0,1
16321,47.0,1484,2,2,0,1,288,0,0
6324,60.0,520,1,0,0,1,49,0,0
8500,50.0,649,3,0,0,1,0,0,0
8544,,1228,3,0,0,1,0,0,0
11049,85.0,1234,3,0,0,2,0,0,0
10552,70.0,1398,4,1,0,2,0,0,0
7313,60.0,1561,2,1,0,2,203,0,1
13418,108.0,1117,4,1,0,3,113,0,1
10859,112.0,1097,3,0,0,2,392,0,0
8532,74.0,1297,3,1,0,2,0,0,0
7922,68.0,1057,3,0,0,1,0,0,0
6040,65.0,0,2,0,0,0,0,0,0
8658,84.0,1088,3,1,0,2,0,0,0
16905,115.0,1350,2,2,0,1,0,0,0
9180,,840,2,0,0,2,240,0,0
9200,,938,3,0,0,1,145,0,0
7945,70.0,1150,3,0,0,1,0,0,0
7658,61.0,1752,2,1,0,2,196,0,1
12822,48.0,1434,1,1,0,2,168,198,0
11096,84.0,1656,3,0,0,3,0,0,0
4456,33.0,736,2,0,0,0,0,0,0
7742,66.0,955,3,0,0,1,0,0,0
13869,,794,3,0,0,2,0,0,0
6240,52.0,816,3,1,0,2,112,0,0
8472,110.0,816,2,0,0,2,106,0,0
50271,68.0,1842,0,1,0,3,857,0,1
7134,60.0,384,3,1,0,2,0,0,0
10175,100.0,1425,3,1,0,2,0,0,0
2645,24.0,970,3,0,0,2,115,0,0
11645,89.0,860,3,0,0,2,0,0,0
13682,66.0,1410,3,1,0,3,192,0,1
7200,60.0,780,2,0,0,1,196,0,0
13072,63.0,1158,3,0,0,2,0,0,0
7200,60.0,530,3,0,0,1,0,0,0
6442,44.0,1370,2,1,0,2,120,0,0
10300,50.0,576,3,0,0,2,12,0,0
9375,,1057,3,0,0,2,576,0,0
9591,76.0,1143,4,1,0,3,192,0,1
19900,,1947,3,1,0,2,301,0,0
10665,72.0,1453,3,0,0,2,144,0,0
4608,47.0,747,2,0,0,1,0,0,0
15593,81.0,1304,3,1,0,2,0,0,0
13651,95.0,2223,3,2,0,2,300,0,0
7599,69.0,845,2,0,0,2,0,0,0
10141,74.0,832,3,1,0,2,0,291,0
10200,85.0,1086,3,0,0,2,0,0,0
5790,60.0,840,3,0,0,1,0,0,0
1596,21.0,462,2,0,0,1,120,0,0
8475,,952,2,0,0,1,0,0,0
8635,50.0,672,2,0,0,1,0,0,0
10778,72.0,1768,4,0,0,0,0,0,0
10440,60.0,440,2,0,0,2,74,0,0
13000,100.0,896,4,1,0,1,0,252,0
4500,32.0,1237,2,0,0,2,0,0,0
10206,78.0,1563,3,1,0,3,144,0,0
8892,80.0,1065,3,0,0,2,74,0,0
8530,,384,3,1,0,2,120,0,0
16059,121.0,1288,4,1,0,2,127,0,1
11911,122.0,684,3,1,0,2,100,0,0
3951,40.0,612,2,0,0,2,0,0,0
8470,105.0,1013,2,0,0,0,0,0,0
8070,60.0,990,3,0,0,0,0,0,0
7200,60.0,0,2,0,0,2,0,0,0
8500,85.0,1235,2,0,0,2,0,0,0
13360,80.0,876,2,0,0,2,0,0,0
7200,60.0,1214,4,1,0,2,0,99,0
9337,69.0,824,3,0,0,2,0,0,0
9765,,680,3,1,0,2,232,0,0
10264,78.0,1588,3,0,0,2,158,0,0
10921,73.0,960,3,0,0,1,120,0,0
10625,85.0,458,2,0,0,1,0,0,0
9320,77.0,950,3,0,0,0,352,0,0
10603,,1610,3,2,0,2,168,0,0
9206,77.0,741,3,1,0,2,192,0,0
7018,64.0,0,4,0,0,2,0,0,0
10402,94.0,1226,3,0,0,3,0,0,0
7758,,1040,4,2,0,1,0,184,0
9375,75.0,1053,3,1,0,2,140,0,0
10800,60.0,641,2,0,0,1,0,0,0
6000,50.0,789,2,0,0,1,0,0,0
8500,85.0,793,3,0,0,0,0,0,0
11751,105.0,1844,3,1,0,2,0,0,0
9525,75.0,994,4,0,0,1,182,0,0
7750,,384,3,1,0,2,180,0,0
9965,77.0,1264,4,1,0,3,120,168,1
21000,,1809,3,2,0,2,166,0,0
7259,61.0,1028,3,1,0,1,224,0,1
3230,34.0,729,2,1,0,2,0,0,0
11616,,1092,3,1,0,1,0,0,0
8536,74.0,1125,2,0,0,2,80,0,0
12376,90.0,1673,5,2,0,3,367,0,1
8461,65.0,728,3,1,0,2,0,0,0
21453,,938,1,2,0,2,0,0,0
6060,50.0,732,3,0,0,1,0,0,0
9464,75.0,1080,3,0,0,1,0,130,0
7892,55.0,1199,2,0,0,2,0,0,0
17043,48.0,1362,3,1,0,2,192,0,0
6780,60.0,520,2,0,0,0,53,0,0
4928,,1078,2,1,0,2,0,0,0
4388,55.0,672,3,1,0,0,0,0,0
7590,69.0,660,3,1,0,2,188,0,0
8973,69.0,1008,3,0,0,2,0,0,0
14200,88.0,924,4,2,0,2,105,0,0
12224,,992,3,1,0,2,24,0,0
7388,75.0,1063,3,0,0,2,0,0,0
6853,,1267,2,0,0,2,192,0,0
10335,78.0,1461,3,1,0,2,0,0,0
10400,80.0,1304,3,1,0,2,98,0,0
10355,,1214,3,1,0,1,0,0,0
11070,82.0,1907,5,0,0,3,0,0,0
9066,73.0,1004,3,2,0,3,224,0,0
15426,65.0,928,3,0,0,2,276,0,0
10500,70.0,864,3,1,0,0,0,0,0
11645,78.0,1734,3,0,0,2,160,0,1
8520,71.0,910,4,0,0,2,0,0,0
10335,78.0,1490,3,0,0,2,144,0,0
9100,70.0,1728,6,0,0,2,0,0,0
2522,24.0,970,3,0,0,2,0,0,0
6120,51.0,715,2,0,0,1,48,0,0
9505,,884,3,1,0,2,144,0,0
7500,63.0,1080,3,0,0,0,0,0,0
6240,,896,3,0,0,1,200,0,0
10356,120.0,969,3,0,0,2,0,0,0
13891,107.0,1710,2,1,0,3,0,0,1
